year,make,model,engine,product_line,part_number,engine_size,position,vehicle_options,application_notes
2027,INFINITI,QX60,All Engines,SEMI-LOADED CALIPER,SC6669,,Front Left,,
2027,INFINITI,QX60,All Engines,SEMI-LOADED CALIPER,SC6670,,Front Right,,
2027,INFINITI,QX60,All Engines,SEMI-LOADED CALIPER,SC6667,,Rear Left,,
2027,INFINITI,QX60,All Engines,SEMI-LOADED CALIPER,SC6668,,Rear Right,,
2027,INFINITI,QX60,All Engines,BARE CALIPER,C6669,,Front Left,,
2027,INFINITI,QX60,All Engines,BARE CALIPER,C6670,,Front Right,,
2027,INFINITI,QX60,All Engines,BARE CALIPER,C6667,,Rear Left,,
2027,INFINITI,QX60,All Engines,BARE CALIPER,C6668,,Rear Right,,
2027,Kia,Sportage,All Engines,SEMI-LOADED CALIPER,SC5241,,Front Left,,
2027,Kia,Sportage,All Engines,SEMI-LOADED CALIPER,SC5242,,Front Right,,
2027,Kia,Sportage,All Engines,SEMI-LOADED CALIPER,SC5287,,Rear Left,,
2027,Kia,Sportage,All Engines,SEMI-LOADED CALIPER,SC5288,,Rear Right,,
2027,Kia,Sportage,All Engines,BARE CALIPER,C5241,,Front Left,,
2027,Kia,Sportage,All Engines,BARE CALIPER,C5242,,Front Right,,
2027,Kia,Sportage,All Engines,BARE CALIPER,C5287,,Rear Left,,
2027,Kia,Sportage,All Engines,BARE CALIPER,C5288,,Rear Right,,
2027,Nissan,Murano,All Engines,SEMI-LOADED CALIPER,SC6669,,Front Left,,
2027,Nissan,Murano,All Engines,SEMI-LOADED CALIPER,SC6670,,Front Right,,
2027,Nissan,Murano,All Engines,SEMI-LOADED CALIPER,SC6667,,Rear Left,,
2027,Nissan,Murano,All Engines,SEMI-LOADED CALIPER,SC6668,,Rear Right,,
2027,Nissan,Murano,All Engines,BARE CALIPER,C6669,,Front Left,,
2027,Nissan,Murano,All Engines,BARE CALIPER,C6670,,Front Right,,
2027,Nissan,Murano,All Engines,BARE CALIPER,C6667,,Rear Left,,
2027,Nissan,Murano,All Engines,BARE CALIPER,C6668,,Rear Right,,
2027,Nissan,Pathfinder,All Engines,SEMI-LOADED CALIPER,SC6669,,Front Left,,
2027,Nissan,Pathfinder,All Engines,SEMI-LOADED CALIPER,SC6670,,Front Right,,
2027,Nissan,Pathfinder,All Engines,SEMI-LOADED CALIPER,SC6667,,Rear Left,,
2027,Nissan,Pathfinder,All Engines,SEMI-LOADED CALIPER,SC6668,,Rear Right,,
2027,Nissan,Pathfinder,All Engines,BARE CALIPER,C6669,,Front Left,,
2027,Nissan,Pathfinder,All Engines,BARE CALIPER,C6670,,Front Right,,
2027,Nissan,Pathfinder,All Engines,BARE CALIPER,C6667,,Rear Left,,
2027,Nissan,Pathfinder,All Engines,BARE CALIPER,C6668,,Rear Right,,
2026,Acura,ADX,All Engines,SEMI-LOADED CALIPER,SC3959,,Front Left,,
2026,Acura,ADX,All Engines,SEMI-LOADED CALIPER,SC3960,,Front Right,,
2026,Acura,ADX,All Engines,SEMI-LOADED CALIPER,SC3961,,Rear Left,,
2026,Acura,ADX,All Engines,SEMI-LOADED CALIPER,SC3962,,Rear Right,,
2026,Acura,ADX,All Engines,BARE CALIPER,C3959,,Front Left,,
2026,Acura,ADX,All Engines,BARE CALIPER,C3960,,Front Right,,
2026,Acura,ADX,All Engines,BARE CALIPER,C3961,,Rear Left,,
2026,Acura,ADX,All Engines,BARE CALIPER,C3962,,Rear Right,,
2026,Acura,Integra,All Engines,SEMI-LOADED CALIPER,SC3941,"1.5L, L4, 1497cc",Front Left,,"312mm Disc, Pad # D2115, CT# 777"
2026,Acura,Integra,All Engines,SEMI-LOADED CALIPER,SC3942,"1.5L, L4, 1497cc",Front Right,,"312mm Disc, Pad # D2115, CT# 777"
2026,Acura,Integra,All Engines,SEMI-LOADED CALIPER,SC3963R,"2.0L, L4, 1996cc, 122CID",Front Left,Type S,"Red Caliper, Brembo Brakes, 4 Piston"
2026,Acura,Integra,All Engines,SEMI-LOADED CALIPER,SC3964R,"2.0L, L4, 1996cc, 122CID",Front Right,Type S,"Red Caliper, Brembo Brakes, 4 Piston"
2026,Acura,Integra,All Engines,SEMI-LOADED CALIPER,SC3933,"1.5L, L4, 1497cc",Rear Left,,
2026,Acura,Integra,All Engines,SEMI-LOADED CALIPER,SC3934,"1.5L, L4, 1497cc",Rear Right,,
2026,Acura,Integra,All Engines,SEMI-LOADED CALIPER,SC3913R,"2.0L, L4, 1996cc, 122CID",Rear Left,Type S,"Red Caliper, Brembo Brakes"
2026,Acura,Integra,All Engines,SEMI-LOADED CALIPER,SC3914R,"2.0L, L4, 1996cc, 122CID",Rear Right,Type S,"Red Caliper, Brembo Brakes"
2026,Acura,Integra,All Engines,BARE CALIPER,C3941,"1.5L, L4, 1497cc",Front Left,,"312mm Disc, Pad # D2115, CT# 777"
2026,Acura,Integra,All Engines,BARE CALIPER,C3942,"1.5L, L4, 1497cc",Front Right,,"312mm Disc, Pad # D2115, CT# 777"
2026,Acura,Integra,All Engines,BARE CALIPER,C3933,"1.5L, L4, 1497cc",Rear Left,,
2026,Acura,Integra,All Engines,BARE CALIPER,C3934,"1.5L, L4, 1497cc",Rear Right,,
2026,Acura,Integra,All Engines,BARE CALIPER,C3913R,"2.0L, L4, 1996cc, 122CID",Rear Left,Type S,"Red Caliper, Brembo Brakes"
2026,Acura,Integra,All Engines,BARE CALIPER,C3914R,"2.0L, L4, 1996cc, 122CID",Rear Right,Type S,"Red Caliper, Brembo Brakes"
2026,Acura,MDX,All Engines,SEMI-LOADED CALIPER,SC3947,"3.5L, V6, 3471cc",Front Left,,"2 Piston, Std. Brakes, 350mm Disc, Non-Painted Caliper"
2026,Acura,MDX,All Engines,SEMI-LOADED CALIPER,SC3948,"3.5L, V6, 3471cc",Front Right,,"2 Piston, Std. Brakes, 350mm Disc, Non-Painted Caliper"
2026,Acura,MDX,All Engines,SEMI-LOADED CALIPER,SC3965R,"3.0L, V6, 2997cc",Front Left,Type S,"4 Piston, Brembo Brakes, 363mm Disc, Red Caliper"
2026,Acura,MDX,All Engines,SEMI-LOADED CALIPER,SC3966R,"3.0L, V6, 2997cc",Front Right,Type S,"4 Piston, Brembo Brakes, 363mm Disc, Red Caliper"
2026,Acura,MDX,All Engines,SEMI-LOADED CALIPER,SC3949,"3.5L, V6, 3471cc",Rear Left,,"Std. Brakes, Non-Painted Caliper"
2026,Acura,MDX,All Engines,SEMI-LOADED CALIPER,SC3950,"3.5L, V6, 3471cc",Rear Right,,"Std. Brakes, Non-Painted Caliper"
2026,Acura,MDX,All Engines,SEMI-LOADED CALIPER,SC3949R,"3.0L, V6, 2997cc",Rear Left,Type S,"w/ Front Brembo Brakes, Red Caliper"
2026,Acura,MDX,All Engines,SEMI-LOADED CALIPER,SC3950R,"3.0L, V6, 2997cc",Rear Right,Type S,"w/ Front Brembo Brakes, Red Caliper"
2026,Acura,MDX,All Engines,BARE CALIPER,C3947,"3.5L, V6, 3471cc",Front Left,,"2 Piston, Std. Brakes, 350mm Disc, Non-Painted Caliper"
