year,make,model,engine,product_line,part_number,engine_size,position,vehicle_options,application_notes
1969,Alfa Romeo,Berlina,All Engines,SEMI-LOADED CALIPER,SC1107,,Front Left,,
1969,Alfa Romeo,Berlina,All Engines,SEMI-LOADED CALIPER,SC1108,,Front Right,,
1969,Alfa Romeo,Berlina,All Engines,SEMI-LOADED CALIPER,SC1111,,Rear Left,,
1969,Alfa Romeo,Berlina,All Engines,SEMI-LOADED CALIPER,SC1112,,Rear Right,,
1969,Alfa Romeo,Berlina,All Engines,BARE CALIPER,C1107,,Front Left,,
1969,Alfa Romeo,Berlina,All Engines,BARE CALIPER,C1108,,Front Right,,
1969,Alfa Romeo,Berlina,All Engines,BARE CALIPER,C1111,,Rear Left,,
1969,Alfa Romeo,Berlina,All Engines,BARE CALIPER,C1112,,Rear Right,,
1969,Alfa Romeo,GT Veloce,All Engines,SEMI-LOADED CALIPER,SC1107,,Front Left,,
1969,Alfa Romeo,GT Veloce,All Engines,SEMI-LOADED CALIPER,SC1108,,Front Right,,
1969,Alfa Romeo,GT Veloce,All Engines,SEMI-LOADED CALIPER,SC1111,,Rear Left,,
1969,Alfa Romeo,GT Veloce,All Engines,SEMI-LOADED CALIPER,SC1112,,Rear Right,,
1969,Alfa Romeo,GT Veloce,All Engines,BARE CALIPER,C1107,,Front Left,,
1969,Alfa Romeo,GT Veloce,All Engines,BARE CALIPER,C1108,,Front Right,,
1969,Alfa Romeo,GT Veloce,All Engines,BARE CALIPER,C1111,,Rear Left,,
1969,Alfa Romeo,GT Veloce,All Engines,BARE CALIPER,C1112,,Rear Right,,
1969,Alfa Romeo,Spider,All Engines,SEMI-LOADED CALIPER,SC1107,,Front Left,,
1969,Alfa Romeo,Spider,All Engines,SEMI-LOADED CALIPER,SC1108,,Front Right,,
1969,Alfa Romeo,Spider,All Engines,SEMI-LOADED CALIPER,SC1111,,Rear Left,,
1969,Alfa Romeo,Spider,All Engines,SEMI-LOADED CALIPER,SC1112,,Rear Right,,
1969,Alfa Romeo,Spider,All Engines,BARE CALIPER,C1107,,Front Left,,
1969,Alfa Romeo,Spider,All Engines,BARE CALIPER,C1108,,Front Right,,
1969,Alfa Romeo,Spider,All Engines,BARE CALIPER,C1111,,Rear Left,,
1969,Alfa Romeo,Spider,All Engines,BARE CALIPER,C1112,,Rear Right,,
1969,Buick,GS 350,All Engines,SEMI-LOADED CALIPER,SC0111,,Front Left,,
1969,Buick,GS 350,All Engines,SEMI-LOADED CALIPER,SC0112,,Front Right,,
1969,Buick,GS 350,All Engines,BARE CALIPER,C0111,,Front Left,,
1969,Buick,GS 350,All Engines,BARE CALIPER,C0112,,Front Right,,
1969,Buick,GS 400,All Engines,SEMI-LOADED CALIPER,SC0111,,Front Left,,
1969,Buick,GS 400,All Engines,SEMI-LOADED CALIPER,SC0112,,Front Right,,
1969,Buick,GS 400,All Engines,BARE CALIPER,C0111,,Front Left,,
1969,Buick,GS 400,All Engines,BARE CALIPER,C0112,,Front Right,,
1969,Buick,Skylark,All Engines,SEMI-LOADED CALIPER,SC0111,,Front Left,,
1969,Buick,Skylark,All Engines,SEMI-LOADED CALIPER,SC0112,,Front Right,,
1969,Buick,Skylark,All Engines,BARE CALIPER,C0111,,Front Left,,
1969,Buick,Skylark,All Engines,BARE CALIPER,C0112,,Front Right,,
1969,Buick,Special,All Engines,SEMI-LOADED CALIPER,SC0111,,Front Left,,
1969,Buick,Special,All Engines,SEMI-LOADED CALIPER,SC0112,,Front Right,,
1969,Buick,Special,All Engines,BARE CALIPER,C0111,,Front Left,,
1969,Buick,Special,All Engines,BARE CALIPER,C0112,,Front Right,,
1969,Buick,Sportwagon,All Engines,SEMI-LOADED CALIPER,SC0111,,Front Left,,
1969,Buick,Sportwagon,All Engines,SEMI-LOADED CALIPER,SC0112,,Front Right,,
1969,Buick,Sportwagon,All Engines,BARE CALIPER,C0111,,Front Left,,
1969,Buick,Sportwagon,All Engines,BARE CALIPER,C0112,,Front Right,,
1969,Cadillac,Calais,All Engines,SEMI-LOADED CALIPER,SC0133,,Front Left,,
1969,Cadillac,Calais,All Engines,SEMI-LOADED CALIPER,SC0134,,Front Right,,
1969,Cadillac,Calais,All Engines,BARE CALIPER,C0133,,Front Left,,
1969,Cadillac,Calais,All Engines,BARE CALIPER,C0134,,Front Right,,
1969,Cadillac,Commercial Chassis,All Engines,SEMI-LOADED CALIPER,SC0133,,Front Left,,
1969,Cadillac,Commercial Chassis,All Engines,SEMI-LOADED CALIPER,SC0134,,Front Right,,
1969,Cadillac,Commercial Chassis,All Engines,BARE CALIPER,C0133,,Front Left,,
1969,Cadillac,Commercial Chassis,All Engines,BARE CALIPER,C0134,,Front Right,,
