year,make,model,engine,product_line,part_number,engine_size,position,vehicle_options,application_notes
2009,Acura,CSX,All Engines,SEMI-LOADED CALIPER,SC3847,,Front Left,Touring,CT# 16CL15VN
2009,Acura,CSX,All Engines,SEMI-LOADED CALIPER,SC3847,,Front Left,Technology,CT# 16CL15VN
2009,Acura,CSX,All Engines,SEMI-LOADED CALIPER,SC3848,,Front Right,Touring,CT# 16CL15VN
2009,Acura,CSX,All Engines,SEMI-LOADED CALIPER,SC3848,,Front Right,Technology,CT# 16CL15VN
2009,Acura,CSX,All Engines,SEMI-LOADED CALIPER,SC3845,,Front Left,Type-S,CT# 16CL16VN
2009,Acura,CSX,All Engines,SEMI-LOADED CALIPER,SC3846,,Front Right,Type-S,CT# 16CL16VN
2009,Acura,CSX,All Engines,SEMI-LOADED CALIPER,SC3849,,Rear Left,,
2009,Acura,CSX,All Engines,SEMI-LOADED CALIPER,SC3850,,Rear Right,,
2009,Acura,CSX,All Engines,PREMIUM COATED S/L CALIPER,PC3849,,Rear Left,,
2009,Acura,CSX,All Engines,PREMIUM COATED S/L CALIPER,PC3850,,Rear Right,,
2009,Acura,CSX,All Engines,NEW SEMI-LOADED CALIPER,NSC3849,,Rear Left,,
2009,Acura,CSX,All Engines,NEW SEMI-LOADED CALIPER,NSC3850,,Rear Right,,
2009,Acura,CSX,All Engines,BARE CALIPER,C3847,,Front Left,Touring,CT# 16CL15VN
2009,Acura,CSX,All Engines,BARE CALIPER,C3847,,Front Left,Technology,CT# 16CL15VN
2009,Acura,CSX,All Engines,BARE CALIPER,C3848,,Front Right,Touring,CT# 16CL15VN
2009,Acura,CSX,All Engines,BARE CALIPER,C3848,,Front Right,Technology,CT# 16CL15VN
2009,Acura,CSX,All Engines,BARE CALIPER,C3845,,Front Left,Type-S,CT# 16CL16VN
2009,Acura,CSX,All Engines,BARE CALIPER,C3846,,Front Right,Type-S,CT# 16CL16VN
2009,Acura,CSX,All Engines,BARE CALIPER,C3849,,Rear Left,,
2009,Acura,CSX,All Engines,BARE CALIPER,C3850,,Rear Right,,
2009,Acura,MDX,All Engines,SEMI-LOADED CALIPER,SC1859,,Front Left,,
2009,Acura,MDX,All Engines,SEMI-LOADED CALIPER,SC1860,,Front Right,,
2009,Acura,MDX,All Engines,SEMI-LOADED CALIPER,SC1861,,Rear Left,,
2009,Acura,MDX,All Engines,SEMI-LOADED CALIPER,SC1862,,Rear Right,,
2009,Acura,MDX,All Engines,NEW SEMI-LOADED CALIPER,NSC1859,,Front Left,,
2009,Acura,MDX,All Engines,NEW SEMI-LOADED CALIPER,NSC1860,,Front Right,,
2009,Acura,MDX,All Engines,NEW SEMI-LOADED CALIPER,NSC1861,,Rear Left,,
2009,Acura,MDX,All Engines,NEW SEMI-LOADED CALIPER,NSC1862,,Rear Right,,
2009,Acura,MDX,All Engines,BARE CALIPER,C1859,,Front Left,,
2009,Acura,MDX,All Engines,BARE CALIPER,C1860,,Front Right,,
2009,Acura,MDX,All Engines,BARE CALIPER,C1861,,Rear Left,,
2009,Acura,MDX,All Engines,BARE CALIPER,C1862,,Rear Right,,
2009,Acura,RDX,All Engines,SEMI-LOADED CALIPER,SC3837,,Front Left,,
2009,Acura,RDX,All Engines,SEMI-LOADED CALIPER,SC3838,,Front Right,,
2009,Acura,RDX,All Engines,SEMI-LOADED CALIPER,SC3853,,Rear Left,,
2009,Acura,RDX,All Engines,SEMI-LOADED CALIPER,SC3854,,Rear Right,,
2009,Acura,RDX,All Engines,PREMIUM COATED S/L CALIPER,PC3853,,Rear Left,,
2009,Acura,RDX,All Engines,PREMIUM COATED S/L CALIPER,PC3854,,Rear Right,,
2009,Acura,RDX,All Engines,NEW SEMI-LOADED CALIPER,NSC3837,,Front Left,,
2009,Acura,RDX,All Engines,NEW SEMI-LOADED CALIPER,NSC3838,,Front Right,,
2009,Acura,RDX,All Engines,NEW SEMI-LOADED CALIPER,NSC3853,,Rear Left,,
2009,Acura,RDX,All Engines,NEW SEMI-LOADED CALIPER,NSC3854,,Rear Right,,
2009,Acura,RDX,All Engines,BARE CALIPER,C3837,,Front Left,,
2009,Acura,RDX,All Engines,BARE CALIPER,C3838,,Front Right,,
2009,Acura,RDX,All Engines,BARE CALIPER,C3853,,Rear Left,,
2009,Acura,RDX,All Engines,BARE CALIPER,C3854,,Rear Right,,
2009,Acura,RL,All Engines,SEMI-LOADED CALIPER,SC3861,,Front Left,,4 Piston
2009,Acura,RL,All Engines,SEMI-LOADED CALIPER,SC3862,,Front Right,,4 Piston
2009,Acura,RL,All Engines,SEMI-LOADED CALIPER,SC3863,,Rear Left,,
2009,Acura,RL,All Engines,SEMI-LOADED CALIPER,SC3864,,Rear Right,,
2009,Acura,RL,All Engines,BARE CALIPER,C3861,,Front Left,,4 Piston
2009,Acura,RL,All Engines,BARE CALIPER,C3862,,Front Right,,4 Piston
2009,Acura,RL,All Engines,BARE CALIPER,C3863,,Rear Left,,
2009,Acura,RL,All Engines,BARE CALIPER,C3864,,Rear Right,,
2009,Acura,TL,All Engines,SEMI-LOADED CALIPER,SC3833,,Front Left,,
2009,Acura,TL,All Engines,SEMI-LOADED CALIPER,SC3834,,Front Right,,
2009,Acura,TL,All Engines,SEMI-LOADED CALIPER,SC3865,,Rear Left,,
2009,Acura,TL,All Engines,SEMI-LOADED CALIPER,SC3866,,Rear Right,,
2009,Acura,TL,All Engines,NEW SEMI-LOADED CALIPER,NSC3833,,Front Left,,
2009,Acura,TL,All Engines,NEW SEMI-LOADED CALIPER,NSC3834,,Front Right,,
2009,Acura,TL,All Engines,BARE CALIPER,C3833,,Front Left,,
2009,Acura,TL,All Engines,BARE CALIPER,C3834,,Front Right,,
2009,Acura,TL,All Engines,BARE CALIPER,C3865,,Rear Left,,
2009,Acura,TL,All Engines,BARE CALIPER,C3866,,Rear Right,,
2009,Acura,TSX,All Engines,SEMI-LOADED CALIPER,SC3829,,Front Left,,
2009,Acura,TSX,All Engines,SEMI-LOADED CALIPER,SC3830,,Front Right,,
2009,Acura,TSX,All Engines,SEMI-LOADED CALIPER,SC1877,,Rear Left,,
2009,Acura,TSX,All Engines,SEMI-LOADED CALIPER,SC1878,,Rear Right,,
2009,Acura,TSX,All Engines,PREMIUM COATED S/L CALIPER,PC1877,,Rear Left,,
2009,Acura,TSX,All Engines,PREMIUM COATED S/L CALIPER,PC1878,,Rear Right,,
2009,Acura,TSX,All Engines,NEW SEMI-LOADED CALIPER,NSC3829,,Front Left,,
2009,Acura,TSX,All Engines,NEW SEMI-LOADED CALIPER,NSC3830,,Front Right,,
2009,Acura,TSX,All Engines,NEW SEMI-LOADED CALIPER,NSC1877,,Rear Left,,
2009,Acura,TSX,All Engines,NEW SEMI-LOADED CALIPER,NSC1878,,Rear Right,,
2009,Acura,TSX,All Engines,BARE CALIPER,C3829,,Front Left,,
2009,Acura,TSX,All Engines,BARE CALIPER,C3830,,Front Right,,
2009,Acura,TSX,All Engines,BARE CALIPER,C1877,,Rear Left,,
2009,Acura,TSX,All Engines,BARE CALIPER,C1878,,Rear Right,,
2009,Audi,A3,All Engines,SEMI-LOADED CALIPER,SC1941-1,,Front Left,,
2009,Audi,A3,All Engines,SEMI-LOADED CALIPER,SC1942-1,,Front Right,,
2009,Audi,A3,All Engines,SEMI-LOADED CALIPER,SC1943,,Rear Left,,
2009,Audi,A3,All Engines,SEMI-LOADED CALIPER,SC1944,,Rear Right,,
2009,Audi,A3,All Engines,PREMIUM COATED S/L CALIPER,PC1943,,Rear Left,,
2009,Audi,A3,All Engines,PREMIUM COATED S/L CALIPER,PC1944,,Rear Right,,
2009,Audi,A3,All Engines,NEW SEMI-LOADED CALIPER,NSC1943,,Rear Left,,
2009,Audi,A3,All Engines,NEW SEMI-LOADED CALIPER,NSC1944,,Rear Right,,
2009,Audi,A3,All Engines,BARE CALIPER,C1941,,Front Left,,
2009,Audi,A3,All Engines,BARE CALIPER,C1942,,Front Right,,
2009,Audi,A3,All Engines,BARE CALIPER,C1943,,Rear Left,,
2009,Audi,A3,All Engines,BARE CALIPER,C1944,,Rear Right,,
2009,Audi,A3 Quattro,All Engines,SEMI-LOADED CALIPER,SC1941-2,,Front Left,,
2009,Audi,A3 Quattro,All Engines,SEMI-LOADED CALIPER,SC1942-2,,Front Right,,
2009,Audi,A3 Quattro,All Engines,SEMI-LOADED CALIPER,SC7847,,Rear Left,,
2009,Audi,A3 Quattro,All Engines,SEMI-LOADED CALIPER,SC7848,,Rear Right,,
2009,Audi,A3 Quattro,All Engines,BARE CALIPER,C1941,,Front Left,,
2009,Audi,A3 Quattro,All Engines,BARE CALIPER,C1942,,Front Right,,
2009,Audi,A3 Quattro,All Engines,BARE CALIPER,C7847,,Rear Left,,
2009,Audi,A3 Quattro,All Engines,BARE CALIPER,C7848,,Rear Right,,
2009,Audi,A4,All Engines,SEMI-LOADED CALIPER,SC1977,,Front Left,Base,
