year,make,model,engine,product_line,part_number,engine_size,position,vehicle_options,application_notes
1989,Acura,Integra,All Engines,SEMI-LOADED CALIPER,SC0879,,Front Left,,
1989,Acura,Integra,All Engines,SEMI-LOADED CALIPER,SC0880,,Front Right,,
1989,Acura,Integra,All Engines,SEMI-LOADED CALIPER,SC1615,,Rear Left,,
1989,Acura,Integra,All Engines,SEMI-LOADED CALIPER,SC1616,,Rear Right,,
1989,Acura,Integra,All Engines,BARE CALIPER,C0879,,Front Left,,
1989,Acura,Integra,All Engines,BARE CALIPER,C0880,,Front Right,,
1989,Acura,Integra,All Engines,BARE CALIPER,C1615,,Rear Left,,
1989,Acura,Integra,All Engines,BARE CALIPER,C1616,,Rear Right,,
1989,Acura,Legend,All Engines,SEMI-LOADED CALIPER,SC1549,,Front Left,,
1989,Acura,Legend,All Engines,SEMI-LOADED CALIPER,SC1550,,Front Right,,
1989,Acura,Legend,All Engines,SEMI-LOADED CALIPER,SC1617,,Rear Left,,
1989,Acura,Legend,All Engines,SEMI-LOADED CALIPER,SC1618,,Rear Right,,
1989,Acura,Legend,All Engines,BARE CALIPER,C1549,,Front Left,,
1989,Acura,Legend,All Engines,BARE CALIPER,C1550,,Front Right,,
1989,Acura,Legend,All Engines,BARE CALIPER,C1617,,Rear Left,,
1989,Acura,Legend,All Engines,BARE CALIPER,C1618,,Rear Right,,
1989,Alfa Romeo,Milano,All Engines,SEMI-LOADED CALIPER,SC1109,,Front Left,,
1989,Alfa Romeo,Milano,All Engines,SEMI-LOADED CALIPER,SC1110,,Front Right,,
1989,Alfa Romeo,Milano,All Engines,SEMI-LOADED CALIPER,SC1103,,Rear Left,,
1989,Alfa Romeo,Milano,All Engines,SEMI-LOADED CALIPER,SC1104,,Rear Right,,
1989,Alfa Romeo,Milano,All Engines,BARE CALIPER,C1109,,Front Left,,
1989,Alfa Romeo,Milano,All Engines,BARE CALIPER,C1110,,Front Right,,
1989,Alfa Romeo,Milano,All Engines,BARE CALIPER,C1103,,Rear Left,,
1989,Alfa Romeo,Milano,All Engines,BARE CALIPER,C1104,,Rear Right,,
1989,Alfa Romeo,Spider,All Engines,SEMI-LOADED CALIPER,SC1107,,Front Left,,
1989,Alfa Romeo,Spider,All Engines,SEMI-LOADED CALIPER,SC1108,,Front Right,,
1989,Alfa Romeo,Spider,All Engines,SEMI-LOADED CALIPER,SC1111,,Rear Left,,
1989,Alfa Romeo,Spider,All Engines,SEMI-LOADED CALIPER,SC1112,,Rear Right,,
1989,Alfa Romeo,Spider,All Engines,BARE CALIPER,C1107,,Front Left,,
1989,Alfa Romeo,Spider,All Engines,BARE CALIPER,C1108,,Front Right,,
1989,Alfa Romeo,Spider,All Engines,BARE CALIPER,C1111,,Rear Left,,
1989,Alfa Romeo,Spider,All Engines,BARE CALIPER,C1112,,Rear Right,,
1989,Audi,100,All Engines,SEMI-LOADED CALIPER,SC0707,,Front Left,,"ATE Type, 4 Pin Style"
1989,Audi,100,All Engines,SEMI-LOADED CALIPER,SC0708,,Front Right,,"ATE Type, 4 Pin Style"
1989,Audi,100,All Engines,SEMI-LOADED CALIPER,SC0705,,Front Left,,"Girling Type, 2 Pin Style"
1989,Audi,100,All Engines,SEMI-LOADED CALIPER,SC0706,,Front Right,,"Girling Type, 2 Pin Style"
1989,Audi,100,All Engines,SEMI-LOADED CALIPER,SC1793,,Rear Left,,
1989,Audi,100,All Engines,SEMI-LOADED CALIPER,SC1794,,Rear Right,,
1989,Audi,100,All Engines,BARE CALIPER,C0707,,Front Left,,"ATE Type, 4 Pin Style"
1989,Audi,100,All Engines,BARE CALIPER,C0708,,Front Right,,"ATE Type, 4 Pin Style"
1989,Audi,100,All Engines,BARE CALIPER,C0705,,Front Left,,"Girling Type, 2 Pin Style"
1989,Audi,100,All Engines,BARE CALIPER,C0706,,Front Right,,"Girling Type, 2 Pin Style"
1989,Audi,100,All Engines,BARE CALIPER,C1793,,Rear Left,,
1989,Audi,100,All Engines,BARE CALIPER,C1794,,Rear Right,,
1989,Audi,100 Quattro,All Engines,SEMI-LOADED CALIPER,SC0707,,Front Left,,"ATE Type, 4 Pin Style"
1989,Audi,100 Quattro,All Engines,SEMI-LOADED CALIPER,SC0708,,Front Right,,"ATE Type, 4 Pin Style"
1989,Audi,100 Quattro,All Engines,SEMI-LOADED CALIPER,SC0705,,Front Left,,"Girling Type, 2 Pin Style"
1989,Audi,100 Quattro,All Engines,SEMI-LOADED CALIPER,SC0706,,Front Right,,"Girling Type, 2 Pin Style"
1989,Audi,100 Quattro,All Engines,SEMI-LOADED CALIPER,SC1709,,Rear Left,,CT# 2392/2393
1989,Audi,100 Quattro,All Engines,SEMI-LOADED CALIPER,SC1710,,Rear Right,,CT# 2392/2393
1989,Audi,100 Quattro,All Engines,SEMI-LOADED CALIPER,SC1785,,Rear Left,,CT# 2624/2625
