year,make,model,engine,product_line,part_number,engine_size,position,vehicle_options,application_notes
1979,Alfa Romeo,Spider,All Engines,SEMI-LOADED CALIPER,SC1107,,Front Left,,
1979,Alfa Romeo,Spider,All Engines,SEMI-LOADED CALIPER,SC1108,,Front Right,,
1979,Alfa Romeo,Spider,All Engines,SEMI-LOADED CALIPER,SC1111,,Rear Left,,
1979,Alfa Romeo,Spider,All Engines,SEMI-LOADED CALIPER,SC1112,,Rear Right,,
1979,Alfa Romeo,Spider,All Engines,BARE CALIPER,C1107,,Front Left,,
1979,Alfa Romeo,Spider,All Engines,BARE CALIPER,C1108,,Front Right,,
1979,Alfa Romeo,Spider,All Engines,BARE CALIPER,C1111,,Rear Left,,
1979,Alfa Romeo,Spider,All Engines,BARE CALIPER,C1112,,Rear Right,,
1979,Alfa Romeo,Sport,All Engines,SEMI-LOADED CALIPER,SC1103,,Rear Left,,
1979,Alfa Romeo,Sport,All Engines,SEMI-LOADED CALIPER,SC1104,,Rear Right,,
1979,Alfa Romeo,Sport,All Engines,BARE CALIPER,C1103,,Rear Left,,
1979,Alfa Romeo,Sport,All Engines,BARE CALIPER,C1104,,Rear Right,,
1979,Alfa Romeo,Sprint,All Engines,SEMI-LOADED CALIPER,SC1103,,Rear Left,,
1979,Alfa Romeo,Sprint,All Engines,SEMI-LOADED CALIPER,SC1104,,Rear Right,,
1979,Alfa Romeo,Sprint,All Engines,BARE CALIPER,C1103,,Rear Left,,
1979,Alfa Romeo,Sprint,All Engines,BARE CALIPER,C1104,,Rear Right,,
1979,American Motors,AMX,All Engines,SEMI-LOADED CALIPER,SC0405,,Front Left,,
1979,American Motors,AMX,All Engines,SEMI-LOADED CALIPER,SC0406,,Front Right,,
1979,American Motors,AMX,All Engines,BARE CALIPER,C0405,,Front Left,,
1979,American Motors,AMX,All Engines,BARE CALIPER,C0406,,Front Right,,
1979,American Motors,Concord,All Engines,SEMI-LOADED CALIPER,SC0405,,Front Left,,
1979,American Motors,Concord,All Engines,SEMI-LOADED CALIPER,SC0406,,Front Right,,
1979,American Motors,Concord,All Engines,BARE CALIPER,C0405,,Front Left,,
1979,American Motors,Concord,All Engines,BARE CALIPER,C0406,,Front Right,,
1979,American Motors,Pacer,All Engines,SEMI-LOADED CALIPER,SC0405,,Front Left,,
1979,American Motors,Pacer,All Engines,SEMI-LOADED CALIPER,SC0406,,Front Right,,
1979,American Motors,Pacer,All Engines,BARE CALIPER,C0405,,Front Left,,
1979,American Motors,Pacer,All Engines,BARE CALIPER,C0406,,Front Right,,
1979,American Motors,Spirit,All Engines,SEMI-LOADED CALIPER,SC0405,,Front Left,,
1979,American Motors,Spirit,All Engines,SEMI-LOADED CALIPER,SC0406,,Front Right,,
1979,American Motors,Spirit,All Engines,BARE CALIPER,C0405,,Front Left,,
1979,American Motors,Spirit,All Engines,BARE CALIPER,C0406,,Front Right,,
1979,Audi,5000,All Engines,SEMI-LOADED CALIPER,SC0703,,Front Left,,
1979,Audi,5000,All Engines,SEMI-LOADED CALIPER,SC0704,,Front Right,,
1979,Audi,5000,All Engines,BARE CALIPER,C0703,,Front Left,,
1979,Audi,5000,All Engines,BARE CALIPER,C0704,,Front Right,,
1979,Audi,Fox,All Engines,SEMI-LOADED CALIPER,SC0699,,Front Left,,
1979,Audi,Fox,All Engines,SEMI-LOADED CALIPER,SC0700,,Front Right,,
1979,Audi,Fox,All Engines,BARE CALIPER,C0699,,Front Left,,
1979,Audi,Fox,All Engines,BARE CALIPER,C0700,,Front Right,,
1979,BMW,320i,All Engines,SEMI-LOADED CALIPER,SC0727,,Front Left,,Solid Rotors
1979,BMW,320i,All Engines,SEMI-LOADED CALIPER,SC0728,,Front Right,,Solid Rotors
1979,BMW,320i,All Engines,SEMI-LOADED CALIPER,SC0725,,Front Left,,Vented Rotors
1979,BMW,320i,All Engines,SEMI-LOADED CALIPER,SC0726,,Front Right,,Vented Rotors
1979,BMW,320i,All Engines,BARE CALIPER,C0727,,Front Left,,Solid Rotors
1979,BMW,320i,All Engines,BARE CALIPER,C0728,,Front Right,,Solid Rotors
1979,BMW,320i,All Engines,BARE CALIPER,C0725,,Front Left,,Vented Rotors
1979,BMW,320i,All Engines,BARE CALIPER,C0726,,Front Right,,Vented Rotors
1979,BMW,528i,All Engines,SEMI-LOADED CALIPER,SC2705,,Front Left,,
